text,score
"leave it to rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the city as it was more than two centuries ago .",0
"it's dumb fun slapped silly , a new franchise inspired by the bond films that's not far from the porn its title promises ; the film is a veritable orgy of outrageous stunts .",0
"josch now has to convince t&#252 ; rlich about the evil intentions of dump fast , only has there just been quite a fight between the two lifelong friends .",1
"the aaa of action , xxx is a blast of adrenalin , rated eee for excitement . and vin diesel is the man .",0
'rare birds' tries to force its quirkiness upon the audience .,0
"the film stars jim caviezel as dantes , a sailor who is falsely accused of treason by his best friend fernand ( guy pearce ) , who wants dantes' girlfriend mercedes ( dagmara dominczyk ) for himself .",1
"on a trip through texas to mexico , a group of teens pick up the survivor of a massacre that took place the night before .",1
"set in the summer of 1942 during wwii , the film traces the trajectory of simple people thrown into extraordinary lives , revealing the heart-warming flame of hope and humanity that endures , even in times of war and dispair .",1
but even greater dangers lie ahead when jim discovers that his trusted friend silver is actually a scheming pirate with mutiny on his mind .,1
jedi knights obi-wan kenobi and anakin skywalker discover there is more than meets the eye behind an assassination attempt on naboo senator padm&#233 ; amidala's life .,1
"a time where all fantasies can come true - unfortunately , it is no longer the '70s .",1
"though shiri's eruptions of violence , mayhem and gunplay are every bit as kinetic and dazzling as anything generated in hong kong or hollywood , the film's primary focus is always on its characters .",0
"though the dutchman is white , he has been found to be a reincarnated king in the west african nation of ghana - his wife's homeland .",1
"immigrant worker tobias horvath gets up at 5 : 00 a . m . , washes , shaves , has some breakfast , and runs to the main square .",1
more sophisticated and literate than such pictures usually are . . . an amusing little catch .,0
"nothing makes this woman happy , including her wealthy but passive husband ( tony ) , a pharmaceutical kingpin .",1
"once the downward spiral comes to pass , auto focus bears out as your typical junkie opera . . .",0
nice balance between real emotions and cute movie moments with a hilarious love scene .,0
"writer/director david caesar ladles on the local flavour with a hugely enjoyable film about changing times , clashing cultures and the pleasures of a well-made pizza .",0
"in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy .",0
"like the best 60 minutes exposé , the film ( at 80 minutes ) is actually quite entertaining .",0
"sex , lies &#38 ; superheroes features the writers and artists who have helped make comic books a medium for sophisticated stories and artwork .",1
"when wei is promoted from the rank of nightclub parking valet to the rank of debt-collector in brother gu's gang , he persuades his boss to hire jie to work alongside him .",1
"en un ca&#243 ; tico principio del siglo xxi , oleadas de cr&#237 ; menes saturan los informativos , y decenas de sectas tratan de captar la fe de la cada vez m&#225 ; s esc&#233 ; ptica poblaci&#243 ; n .",1
"would be an unendurable viewing experience for this ultra-provincial new yorker if 26-year-old reese witherspoon were not on hand to inject her pure fantasy character , melanie carmichael , with a massive infusion of old-fashioned hollywood magic .",0
is there enough material to merit a documentary on the making of wilco's last album ?,0
"surrounded by a bevy of adoring but completely wrong for her men ( and one dead girl from manchester ) , chance has to pick her way through her messy life in order to figure out which guy is "" it "" .",1
"if this movie belonged to a sorority , it would be called beta alpha delta .",0
"the story that emerges has elements of romance , tragedy and even silent-movie comedy .",0
the events of the film are just so weird that i honestly never knew what the hell was coming next .,0
this is the question posed to john wesley after a heavy night of drinking .,1
"set in 1989 , during the historical week in which the berlin wall came tumbling down .",1
"it may be a prize winner , but teacher is a bomb .",0
"as his agent pushes him to be bigger , and valerie , the bakery owner , adds a surprise of her own , stan begins to strain under the pressures of mass production while simultaneously trying to create hand painted masterpieces . . .",1
"all or nothing is set on a london working-class housing estate over a long weekend , and also tells the stories of a range of phil and penny's neighbors , some of whom become involved in the family's lives , and all of whom experience an emotional journey .",1
"unfortunately the third seems out of reach - the beautiful , seductive anne elise .",1
resident evil may be brain dead but it's great popcorn entertainment nonetheless .,0
we become complicit in our own seduction : we willingly let bielinsky manipulate us .,0
"these blow up another ship with jews , deports and jails the atlantic's refugees in palestine , and then deports them to far-off mauritius islands for 5 years in jail : until the end of the war .",1
"if borstal boy isn't especially realistic , it is an engaging nostalgia piece .",0
her mother convinces gus to let her take some computer classes at college ( making him think it's his idea ) .,1
"while it hasn't always been smooth sailing , they've ridden out the rough spots with humor , passion , and wisdom , redefining and reinventing their own version of "" family values . """,1
"guy gets girl , guy loses girl , audience falls asleep .",0
"after a decade of hidden feelings , divorces and failed relationships , they both finally reveal their true feelings for one another - to find out they both are in love with the other .",1
"if the man from elysian fields is doomed by its smallness , it is also elevated by it--the kind of movie that you enjoy more because you're one of the lucky few who sought it out .",0
"a work of the utmost subtlety and perception , it marks the outstanding feature debut of writer-director eric byler , who understands the power of the implicit and the virtues of simplicity and economy .",0
"like the original , this version is raised a few notches above kiddie fantasy pablum by allen's astringent wit .",0
best enjoyed as a work of fiction inspired by real-life events . those seeking a definitive account of eisenstein's life would do better elsewhere .,0
"it's the end of the world as metaphor for how we scuttle relationships , and it's a remarkably apt one .",0
"the off-center humor is a constant , and the ensemble gives it a buoyant delivery .",0
its portrait of a very unsung sector of society is refreshingly honest and entertaining .,0
"with films like 'mouna ragam' , 'alaipayuthe' and now 'kannathil muthamittal' , maniratnam yet again proves that he is at his best when tackling human emotions and relationships .",1
this means that his superiors hold him in high regard for his unblemished reputation and excellent track record .,1
"in imax in short , it's just as wonderful on the big screen .",0
"matsumoto and sawako were a happy couple , but meddling parents and chase for success push the boy to a tragic choice .",1
"a serial killer is on the loose and kills herbert's assistant , dan cain .",1
"it's a sci-fi , time travel , action adventure , comedy , drama mystery all rolled into one as mark twain on the way home from one of his last speaking tours in 1906 , is jostled on a train by 2 men , one in pursuit of the other , twain picks up a newspaper that one of them drops and the headline reads "" manned mars mission . . . .",1
three stories of undying love from acclaimed japanese filmmaker takeshi kitano .,1
"why sit through a crummy , wannabe-hip crime comedy that refers incessantly to old movies , when you could just rent those movies instead , let alone seek out a respectable new one ?",0
"the film would work much better as a video installation in a museum , where viewers would be free to leave . immediately .",0
with the help of the huxley prototype they discover they are facing a menace whose very existence is one of the world's greatest mysteries and the only people left to rescue may be themselves .,1
"a thoroughly awful movie--dumb , narratively chaotic , visually sloppy . . . a weird amalgam of 'the thing' and a geriatric 'scream . '",0
a malediction passed from generation to generation has it that any woman in her family who sings will die .,1
"the quest takes him to the mountains of north carolina , the beaches of the dominican republic , the islands off of ireland , the gardens of japan and the holy land of india .",1
"she spends her days catering to edgar's whims and fighting off lame advances from his taciturn partner in crime , flowers ( arie verveen ) .",1
"in the outback and through the bush with his wife terri's ever-present commentary ringing out over the countryside ( "" that was a close one , steve ! "" ) , the crocodile hunter is out to save the gorgeous croc and relocate him .",1
twists of fate along the way test and strain their relationship even further .,1
"even worse , his influence of a bad las vegas obsessed him of henry having killed his real father douglas .",1
tempest productions journeys to the heart of the anime subculture in search of answers .,1
"like a can of 2-day old coke . you can taste it , but there's no fizz .",0
"any chekhov is better than no chekhov , but it would be a shame if this was your introduction to one of the greatest plays of the last 100 years .",0
"one of the funniest motion pictures of the year , but . . . also one of the most curiously depressing .",0
"twists are so bizarre , and the story so worth documenting , that it's easy to forget this film's shortcomings .",0
"resident evil isn't a product of its cinematic predecessors so much as an mtv , sugar hysteria , and playstation cocktail .",0
"its and pieces of the hot chick are so hilarious , and schneider's performance is so fine , it's a real shame that so much of the movie -- again , as in the animal -- is a slapdash mess .",0
"if your senses haven't been dulled by slasher films and gorefests , if you're a connoisseur of psychological horror , this is your ticket .",0
as beacons of individuality in a sea of government conformity they represent freedom for those who own them .,1
"everyone's favorite mad scientist herbert west is currently in jail after having state's evidence turned against him by his former assistant , dan cain .",1
"static , repetitive , muddy and blurry , hey arnold ! would seem to have a lock on the title of ugliest movie of the year .",0
there's only one thing his cousin didn't tell him . . .,1
hale bopp is the story of just such a woman ; her name is rachel .,1
a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002 .,0
"a film at once depressing and uplifting--depressing in terms of the sad , often horrifying subjects of nachtwey's photographs but uplifting in terms of his commitment and integrity .",0
"though in some ways similar to catherine breillat's fat girl , rain is the far superior film .",0
"the film falls short on tension , eloquence , spiritual challenge -- things that have made the original new testament stories so compelling for 20 centuries .",0
one of those exceedingly rare films in which the talk alone is enough to keep us involved .,0
"just to add more complication to this already complicated plot , two thieves decide to steal the case and lead a miami police team and two fbi agents on a wild goose chase that ends inside the airport terminal .",1
a rambling ensemble piece with loosely connected characters and plots that never quite gel .,0
"in adobo , ethnicity is not just the spice , but at the heart of more universal concerns .",0
an art whose medium is one of flesh and bone .,1
"theology aside , why put someone who ultimately doesn't learn at the center of a kids' story ?",0
"for those in search of something different , wendigo is a genuinely bone-chilling tale .",0
"the tuxedo wasn't just bad ; it was , as my friend david cross would call it , 'hungry-man portions of bad' .",0
"takes a look at an old world , passionless arrangement in a way that is at once so biting and so brutally honest that you chuckle first , then shudder .",0
and does he feel the same way about daniel ?,1
"bullock stars as lucy kelson , chief counsel for the wade corporation , one of new york city's top commercial real estate developers .",1
"as this bizarro weekend unfolds , we see exactly what adam has to do to preserve his sanity and his friendships .",1
together they set off from minneapolis to duluth on what they think will be a redemptive and romantic road trip to the north shore .,1
then she buys a bar of chocolate from the neighborhood store . . .,1
conflict enters their relationship when anthony expresses to victoria that their sex life is practically non-existent .,1
"as expected , sayles' smart wordplay and clever plot contrivances are as sharp as ever , though they may be overshadowed by some strong performances .",0
"the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .",0
". . . ambition is in short supply in the cinema , and egoyan tackles his themes and explores his characters' crises with seriousness and compassion .",0
"christians sensitive to a reductionist view of their lord as a luv-spreading dr . feelgood or omnipotent slacker will feel vastly more affronted than secularists , who might even praise god for delivering such an instant camp classic .",0
"in order to appease the lord of gods indra ( amitabh bachchan ) , custodian of rain , a grand fire sacrifice is being conducted at the palace under the guidance of the chief priest , paravasu ( jackie shroff ) .",1
"since then , he was considered crazy by everyone in town , except for his childhood girlfriend , caitlin ( emma caulfield ) , and her younger brother .",1
"there's a story that goes around the town of darkness falls about her , and she's called the tooth fairy .",1
"[davis] has a bright , chipper style that keeps things moving , while never quite managing to connect her wish-fulfilling characters to the human race .",0
on an out of control train holding hostages and high-tech bio-weapons agent kristoff ( van damme ) becomes a one man army to derail the terrorists and save the lives of everyone on board !,1
"almost as offensive as "" freddy got fingered . """,0
a lot rides on coincidence . or fate . or the magic pull of the moon . it all makes sense in the end .,0
anyone who can count to five ( the film's target market ? ) can see where this dumbed-down concoction is going .,0
"his best friend , daria knows just what to do and invites sebastien to a dinner party to meet "" the boys . """,1
apparently writer-director attal thought he need only cast himself and his movie-star wife sitting around in their drawers to justify a film .,0
"then one night she surprises her husband frank ( dennis quaid ) having sex with another man , and her tidy world starts spinning out of control .",1
mr . soderbergh's direction and visual style struck me as unusually and unimpressively fussy and pretentious .,0
another more vicous gang known as the vipers is a possible threat to leon and bobby's efforts .,1
as their relationship builds jenny starts to struggle in her religious beliefs and her new lifestyle .,1
"it's a smart , solid , kinetically-charged spy flick worthy of a couple hours of summertime and a bucket of popcorn . nothing overly original , mind you , but solidly entertaining .",0
the unluckiest man in vegas ( william h . macy ) - a guy whose bad luck is contagious - is used by the last of the old time mob run casinos to kill high rollers' action .,1
"evergon is ultimately a compelling story about the human condition , exploring a young man's search for love , steady employment and self-respect .",1
"watching trouble every day , at least if you don't know what's coming , is like biting into what looks like a juicy , delicious plum on a hot summer day and coming away with your mouth full of rotten pulp and living worms .",0
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .,0
"mary goes to live with her beautician cousin in a crowded apartment , and begins to lose heart .",1
too many improbabilities and rose-colored situations temper what could've been an impacting film .,0
. . . too sappy for its own good .,0
ultimately she discovers that what appears on the surface to be true quite often is not .,1
"a sumptuous showcase for ian holm , who delivers not one but two great performances .",0
"she is married to henry bauford ( linus roache ) son of a wealthy british industrialist , when she encounters nick callahan ( clive owen ) a renegade doctor , whose impassioned plea for help to support his relief efforts in war-torn africa moves her deeply .",1
"there is the mother and the father , who don't seem to have a normal marriage anymore , there's the daughter , lena , who has a disease and will soon leave the house for medical treatment in switzerland , and her husband harry , who has a mysterious past .",1
"together with john connor , it must stop the rise of the machines or all humanity will fall .",1
"in 1949 , laura brown , a pregnant housewife , is planning a party for her husband , but she can't stop reading the novel 'mrs .",1
both a successful adaptation and an enjoyable film in its own right .,0
"but events spiral out of control , and before the summer ends she will experience frustrated desire , first love , and a broken heart .",1
"the story of ussr's first nuclear ballistic submarine , which suffered a malfunction in its nuclear reactor on its maiden voyage in the north atlantic in 1961 .",1
"due to a botched robbery attempt , a ruthless romanian barbarian is somehow resurrected in modern day new york and begins wreaking havok on a small manhattan art-house .",1
"however , price discovers a life lesson he never thought possible in the mistaken identity comedy from raw dawg films .",1
"by occasion , the family plays a bizarre game : when someone rings a bell , everyone has to undress as quikly as possible , dive in the swimming pool , and grab the wooden fish in the pool .",1
"their world is about to fall apart when melanie moves out , taking benny with her .",1
"the story takes place in rural vermont , against the backdrop of the state capitol , where civil union laws are being debated along with gun control and dwis .",1
"in the meantime , she has had a little love affair with a young man from the village , found a girlfriend from her childhood days , swum in the sea , and found a way to live in peace with her melancholic memories .",1
"too ordinary to restore [harmon] to prominence , despite some creepy scenes that evoke childish night terrors , and a praiseworthy attempt to generate suspense rather than gross out the audience .",0
"by applying definition to both sides of the man , the picture realizes a fullness that does not negate the subject .",0
"watching e . t now , in an era dominated by cold , loud special-effects-laden extravaganzas , one is struck less by its lavish grandeur than by its intimacy and precision .",0
fay is his total opposite ; her romantic ideal has not yet been attained and is unlikely ever to be due to her impossibly high expectations as a result of living with the perfection that is her parents' rock solid marriage .,1
"if you want a movie time trip , the 1960 version is a far smoother ride .",0
"she's eighteen , unemployed , broke and hopelessly in love with her wannabe rockstar boyfriend matt .",1
"jack ( samuel l . jackson ) finds himself being held hostage while the criminals decide what to do with him , and the leader's beautiful girlfriend , erin ( milla jovovich ) , is left alone to watch jack .",1
flaunts its quirky excesses like a new year's eve drunk sporting a paper party hat .,0
can the three girls see their planning and plotting bear fruit or is their master plan doomed ?,1
with the prospect of films like kangaroo jack about to burst across america's winter movie screens it's a pleasure to have a film like the hours as an alternative .,0
it's not that their lives are not turning out as expected - it's that they're turning out exactly as expected .,1
"this romantic thriller is steeped in the atmosphere of wartime england , and ably captures the speech patterns , moral codes and ideals of the 1940s .",0
"it proves quite compelling as an intense , brooding character study .",0
"his appetite after the gorgeous girl wetted , he helps her out in introducing patricia to his stepdaughter katherine hiller ( carolyne ambrose ) , an artist-agent .",1
"a few nonbelievers may rethink their attitudes when they see the joy the characters take in this creed , but skeptics aren't likely to enter the theater .",0
"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",0
"the plot's clearly mythic structure may owe more to disney's strong sense of formula than to the original story . but while the highly predictable narrative falls short , treasure planet is truly gorgeous to behold .",0
vijay singh rajput ( amitabh bachchan ) is a quirky manager of vilasrao jefferson bank .,1
a literary detective story is still a detective story and aficionados of the whodunit won't be disappointed .,0
"seymour polatkin is a successful , gay indian poet from spokane who confronts his past when he returns to his childhood home on the reservation to attend the funeral of a dear friend .",1
"that's when she meets luke , a mysterious smooth-talking writer who opens her eyes to the world , prompting her to take a long look at the life she's chosen for herself .",1
"on the very day lizzy finds out she's pregnant , she also finds herself the unwitting subject of a twisted television expos&#233 ; perpetrated by the new world standard of unethical journalism : hardcore action news .",1
"the second trip took place in february 2002 in the city of herat now freed from the taliban and in the hunger stricken camp of maslakh , one of the largest in the world .",1
"the film captures intense footage of several art events as well as interviews with burning man organizers larry harvey ( also co-founder ) , crimson rose and will roger who explain how , what started in 1986 as an impromptu summer solstice celebration , put on by a few friends at a beach in san francisco , has turned into a full-blown exercise in city planning and management with a hefty price-tag .",1
"has no reason to exist , other than to employ hollywood kids and people who owe favors to their famous parents .",0
"granted , much of the marlovian argument is patently ridiculous ( was ben johnson really part of a massive cover-up ? ) but it's good fun .",0
"blade ii is as estrogen-free as movies get , so you might want to leave your date behind for this one , or she's gonna make you feel like you owe her big-time .",0
"most of them realize it is counterfeit , but too late to take action .",1
a little girl's search for her biological mother who had abandoned her as a new born baby is brought out poignantly in 'kannathil muthamittal' .,1
"if you're a crocodile hunter fan , you'll enjoy at least the "" real "" portions of the film . if you're looking for a story , don't bother .",0
"the storytelling may be ordinary , but the cast is one of those all-star reunions that fans of gosford park have come to assume is just another day of brit cinema .",0
max plays it cool as he infiltrates beno's palace stronghold in the steamy jungle of the yucatan .,1
"they then took over a pub in glenrowan , where they basically held a party , waiting for a train full of police to derail at a part of the track that they tore up .",1
"as an exercise in stripped-down filmmaking , interview is grimly effective .",0
"but this time , they're gonna have to face both the police - and the mafia !",1
"this version's no classic like its predecessor , but its pleasures are still plentiful .",0
"it's a weepy , nail-biting story line that's all too familiar , although abbass portrays her character with strong conviction and carries the film gracefully .",0
the action of the story derives from the collision of these two competing worlds .,1
"vaguely interesting , but it's just too too much .",0
"back when the earth was being overrun by glaciers , and animals were scurrying to save themselves from the upcoming ice age , a stupid sloth named sid , a woolly mammoth named manny , a saber-toothed tiger named diego , and an acorn-loving saber-toothed squirrel named scrat are forced to become unlikely heroes .",1
"though the controversial korean filmmaker's latest effort is not for all tastes , it offers gorgeous imagery , effective performances , and an increasingly unsettling sense of foreboding .",0
"inside the film's conflict-powered plot there is a decent moral trying to get out , but it's not that , it's the tension that keeps you in your seat . affleck and jackson are good sparring partners .",0
"scientific ambition turns deadly , however , when the creature escapes and begins savagely stalking its prey - the human race .",1
"the result puts a human face on derrida , and makes one of the great minds of our times interesting and accessible to people who normally couldn't care less .",0
"what lifts the film high above run-of-the-filth gangster flicks is its refusal to recognise any of the signposts , as if discovering a way through to the bitter end without a map .",0
van wilder is a guy who has been at his college for seven years .,1
"his father , aglanar , was happy at his birth that he would have a strong and honorable son to carry on the traditions of the valley .",1
"his love changes vesa , who till then has been fraught with malice to everybody .",1
tonight there's a dancing competition at the hottest salsa restaurant in copenhagen .,1
"as immaculate as stuart little 2 is , it could be a lot better if it were , well , more adventurous .",0
"no matter how you slice it , mark wahlberg and thandie newton are not hepburn and grant , two cinematic icons with chemistry galore .",0
"when she suddenly disappears he travels down to london to search for her only to discover that she has three identities - dancer , dominatrix and con-woman .",1
"soon , disease spread , robbing people's abilities to speak ; the endless rain killing all other forms of communication with its acidic torrent .",1
the ring just left me cold and wet like i was out in the seattle drizzle without rainwear .,0
"e . t . works because its flabbergasting principals , 14-year-old robert macnaughton , 6-year-old drew barrymore and 10-year-old henry thomas , convince us of the existence of the wise , wizened visitor from a faraway planet .",0
skyler shaye plays the object of affection of carbonell's teenage son .,1
"but for the shell-shocked crew , trapped together in the sub's narrow corridors and constricted spaces , this is about to become a journey into the sensory delusions , mental deceptions and runaway fear that lurk just below the surface of the ocean and deep inside the human psyche .",1
"after all , she is the woman of his dreams .",1
"this may not be great moviemaking . . . but it's vastly enjoyable in a low-down , scandal-mongering way .",0
"one of the more irritating cartoons you will see this , or any , year .",0
polish jewish woman arrives in brazil dreaming of marrying but has to become a prostitute to survive .,1
"it's bright , pristine style and bold colors make it as much fun as reading an oversized picture book before bedtime .",0
"they all collide during the course of a typical no thrills weekend an urban fairy tale-romantic comedy , in which nola , an aspiring songwriter , leaves an abusive kansas home and journeys to new york to find her biological father .",1
"filled with alexandre desplat's haunting and sublime music , the movie completely transfixes the audience .",0
"as the police try to piece together what happened , the convoluted relationship between a young woman and her two suitors gradually emerges .",1
"by following his own heart and believing in himself , he finds true love his own way in the form of the beguiling doreen the po'boys - a band of four musicians - once had a hit single .",1
"a perfectly acceptable , perfectly bland , competently acted but by no means scary horror movie .",0
jordan is a mom &#38 ; an activist who is on a life long search for true faith as she tries to protect her only child from what she believes is injustice .,1
"hollywood ending is not show-stoppingly hilarious , but scathingly witty nonetheless .",0
i found myself more appreciative of what the director was trying to do than of what he had actually done .,0
daughter from danang sticks with its subjects a little longer and tells a deeper story,0
"a kinetic drama that seems to wander aimlessly , beautifully until it crashes in an odd anti-climax befitting reality itself .",0
"but melanie's past holds many secrets , including jake , the redneck husband she married in high school , who refuses to divorce her .",1
"not exactly worth a drum roll but a movie with enough collegiate ka-boom to earn its title , drumline is a percussion-driven musical variation on every sports pic you've seen about the talented hot dog who eventually learns to become a team player .",0
"lars von trier re-explores the concept of goodness , but this in an idiom very different from that of his gold heart trilogy ( breaking the waves , the idiots and dancer in the dark ) .",1
always destined to be measured against anthony asquith's acclaimed 1952 screen adaptation .,0
"so , shaun goes to great lengths with a little help from his girlfriend ashley and his drugged-out loser brother lance to get into stanford any way they see fit .",1
"an often watchable , though goofy and lurid , blast of a costume drama set in the late 15th century .",0
vince finally arrives at the cemetery the following day .,1
"when the day finally comes , johnny breaks from joe , which leads to only one thing - violence .",1
"birot creates a drama with such a well-defined sense of place and age -- as in , 15 years old -- that the torments and angst become almost as operatic to us as they are to her characters .",0
"a movie just for friday fans , critics be damned . if you already like this sort of thing , this is that sort of thing all over again .",0
"it is bad , but certainly not without merit as entertainment .",0
you have no affinity for most of the characters . nothing about them is attractive . what they see in each other also is difficult to fathom .,0
"everything about the quiet american is good , except its timing .",0
john holmes was considered the link between eddie nash and the home in which the massacre took place .,1
because of her finn is finally able to accept himself .,1
""" new suit "" is a contemporary update of the fairy tale "" the emperor's new clothes . """,1
"a vile , incoherent mess . . . a scummy ripoff of david cronenberg's brilliant 'videodrome . '",0
"leela is the story of leela , an aware , liberal woman who struggles with the true meaning of independence .",1
"just like hearst's enormous yacht , it's slow and unwieldy and takes a long time to reach its destination .",0
"will probably stay in the shadow of its two older , more accessible qatsi siblings .",0
"it is psychedelic , hypnotic , exhilarating and horrifying , and sometimes all at once .",0
sanjana and aditya retreat to ooty to give a last chance to their crumbling marriage .,1
"what begins as a seemingly brainless , bubbly romantic comedy becomes a cliche-drenched melodrama by mid-film and , by film's end , a feminist action fantasy .",0
a small independent film suffering from a severe case of hollywood-itis .,0
plotless collection of moronic stunts is by far the worst movie of the year .,0
"suk , a korean martial artist , brought up by the organization since early childhood , is the man they trust to fight these 'special' matches .",1
"as the police investigate and suspect is arrested , we discover that joe knows more than he is letting on .",1
there are moments of real pleasure to be found in sara sugarman's whimsical comedy very annie-mary but not enough to sustain the film .,0
"once again , the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .",0
"but things go very wrong when he tries this scheme on the jennings family , in part because their daughter abby is asthmatic , and in part because the jennings' find out more than hickley wants them to know .",1
the guy really wants this girl named christina who has a similar number so samantha decides she'd better track this chick down before the guy does .,1
"so unassuming and pure of heart , you can't help but warmly extend your arms and yell 'safe ! '",0
"the story is a rather simplistic one : grief drives her , love drives him , and a second chance to find love in the most unlikely place - it struck a chord in me .",0
"a deliberative account of a lifestyle characterized by its surface-obsession  one that typifies the delirium of post , pre , and extant stardom .",0
