task,score,domain,date,text,paper_id
1430.0,1,www.automotiveworld.com,2018-07-11 00:00:00,"Prior to testing, both the Urban Lab 2 and the reference vehicle were run in on the roll-bench and a detailed performance report of the drive trains of the vehicles was drawn up to ensure the two vehicles used for the project were representative.",248521
7412.0,3,www.news.com.au,2018-07-05 02:23:01,"""That's not me being cocky or confident.",421210
9126.0,1,sputniknews.com,2018-07-05 00:39:00,Chief Medical Officer Sally Davies told reporters on Wednesday that the risk to public health following hospitalization of two Britons in the town of Amesbury with symptoms of exposure to a Salisbury nerve agent remains low.,129208
13048.0,3,www.nzherald.co.nz,2018-07-05 00:00:00,"Neighbours of Letby told media they were in disbelief someone who was so ""dedicated to her job"" could be accused of anything like what had been suggested.",81550
14639.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,They have done so well together so far.,80394
15730.0,1,www.businessinsider.sg,2018-07-05 00:00:00,"Not as large as Costco’s, but close.",233073
9817.0,1,indianexpress.com,2018-07-05 00:17:09,"There they pour one single peg for you and ask you to sip and it and savor it, and you know, all the connoisseurs are there.",228199
17973.0,1,www.dailymail.co.uk,2018-07-04 23:17:42,The bulk of Teresa and husband Joe's debts from the original bankruptcy case have since been resolved however they still owe the IRS and the New Jersey Department of Treasury for which they have payment plans in place.,263107
11429.0,3,www.tvnz.co.nz,2018-07-05 00:00:00,"""To be honest I didn't think I would play one game of NRL.",85350
11667.0,1,www.standardmedia.co.ke,2018-07-05 00:00:00,Chemelil Sugar have drafted their former coach Francis Barasa.,502961
16911.0,3,www.taiwannews.com.tw,2018-07-04 23:46:00,I was a bit worried and I sent him for exams at the British hospital in Lisbon.,2290
17134.0,1,www.newsx.com,2018-07-04 23:36:39,It also asked the firm eighter to pay back money of home buyers or give them houses.,15327
10242.0,1,bworldonline.com,2018-07-05 00:07:48,"Unlike liquid-crystal displays, OLED pixels can glow on their own and do not require a backlight, which makes them thinner and more energy efficient.",118082
14150.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,"Those draft regulations would have, among other things, given the public 30 days to appeal any land trust decision and stated explicitly that the Interior Department would comply with any court orders, rather than appeal them.",80012
1358.0,0,www.radiotimes.com,2018-07-15 00:00:00,"Advertisement
As her relationship with Max grows increasingly complicated and her past demons return to haunt her, will Rainie renege on the arrangement to be paid to pose as Mrs Branning until the baby girl’s granddad is granted full custody?",29910
4142.0,1,www.dailyexaminer.com.au,2018-07-05 06:02:52,"""He plays with guns and swords with Star Wars just like we did when we were kids.",692302
9579.0,3,pakobserver.net,2018-07-05 00:24:07,This meeting is the first foreign ministers’ meeting held by the existing participants of the comprehensive agreement on the Iranian nuclear issue under the new situation.,174808
4567.0,1,www.taiwannews.com.tw,2018-07-05 05:55:00,"His ranking prevented him from entering second-tier, let alone ATP, warmup events for Wimbledon, but having come through three rounds of qualifying in London, Novak is taking a liking to the surface.",3134
4339.0,1,www.abc.net.au,2018-07-05 06:00:29,"Micro factors are the weekly, monthly, quarterly and yearly data releases.",569978
17559.0,3,www.channelnewsasia.com,2018-07-04 23:25:40,"The dogs' enthusiasm and desire to fetch would certainly make it even more of a fantastic spectacle and no doubt they'd get more attention than the players.""",204831
3229.0,1,www.ekathimerini.com,2018-07-06 00:00:00,Former director of the British Museum Neil MacGregor was one of the speakers.,421934
11219.0,1,indianexpress.com,2018-07-05 00:00:36,"I want to highlight that most migrants anywhere work hard to make a living, with dignity, and I wanted to capture those moments,” she says, who has studied public health and nutrition at University of Columbia.",230587
12973.0,3,www.nzherald.co.nz,2018-07-05 00:00:00,"So it's a really quite a strenuous environment to be in.""",80546
3215.0,1,www.ekathimerini.com,2018-07-06 00:00:00,"In charge of this association is an individual particularly loved in Greece: John Kittmer, the former British ambassador to Athens, who was recently succeeded by Kate Smith.",421934
10386.0,1,www.firstpost.com,2018-07-05 00:06:40,"""We are disappointed that the Chinese government has decided not to participate in the pilot phase of CORSIA,"" said ATAG executive director Michael Gill in a statement.",196176
12219.0,1,www.standardmedia.co.ke,2018-07-05 00:00:00,"Six of the accused were tender committee members who were slapped with Sh600,000 fine with an alternative custodial sentence of three years imprisonment.",502928
8310.0,1,indianexpress.com,2018-07-05 01:24:04,A senior police officer said they have recovered at least 11 notebooks from the house.,230577
5276.0,1,www.thechronicle.com.au,2018-07-05 05:00:00,"I don't have any grand plans at the moment, no.",384841
5978.0,1,www.channelnewsasia.com,2018-07-05 04:40:47,"Elaborate winter coats and dresses in apricot pink and lavendar hues melded together chiffon, mink and other fabrics such as cashmere, to create cascading effects.",204281
1090.0,1,whdh.com,2018-07-18 00:00:00,"Most lines will be operating on a Saturday Schedule; however, the Fairmont Line will operate on a special event/holiday schedule.",319291
224.0,3,www.americanthinker.com,2018-07-20 00:00:00,Focuses on bringing back manufacturing jobs instead of constantly increasing regulations and declaring manufacturing jobs gone for good.,450575
5316.0,3,www.thechronicle.com.au,2018-07-05 05:00:00,"After all, he comes from the same place as me, the city that I represent, a city which has put a strong case forward to bring the Flying Kangaroo to town.”
Toowoomba's bid for the pilot training academy was one of nine proposals short-listed across the country.",384874
13581.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,Colliers International said this week New Zealand was suffering from a critical hotel room shortage.,80772
11898.0,1,www.standardmedia.co.ke,2018-07-05 00:00:00,"Swazuri, who was speaking yesterday during a meeting that brought together Kwa Mbuzi residents, military representatives and the commission's personnel, dismissed claims that the area was the squatters' ancestral land.",502915
11734.0,1,www.standardmedia.co.ke,2018-07-05 00:00:00,"We don't want to accept or dispute both the internal investigations and the one by Kuppet, we want to urge the Government to present its findings and DNA results to settle the case on Moi Girls School.",503181
2260.0,1,armenpress.am,2018-07-09 00:00:00,I hear numerously from both the Diaspora of American and other businessmen that there is great interest towards Armenia.,401560
9969.0,1,www.freepressjournal.in,2018-07-05 00:14:52,“This move from Attorney General Sessions is a concrete signal that there is a war being waged on civil liberties from the highest levels of government.,364391
6310.0,1,www.cnet.com,2018-07-05 03:58:00,"Some details about the rumored tablet have come via Bloomberg, which reported earlier this year that the new Surface will have a 10-inch screen.",482932
18565.0,1,indianexpress.com,2018-07-04 23:06:19,“There is no going back.,230425
7759.0,1,www.scmp.com,2018-07-05 02:00:15,"The British pair, a 44-year-old woman and a 45-year-old man, were hospitalised after being found unwell on Saturday in Amesbury, seven miles (11 kilometres) from Salisbury, where the Skripals were found on March 4 slumped unconscious on a bench, after being poisoned with a nerve agent.",500971
13282.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,The ministry also arranges meetings for visitors with Amsterdam's major trading firms.,79745
6102.0,3,www.gladstoneobserver.com.au,2018-07-05 04:30:00,"""The safety of our employees is paramount and we'll focus on continuing the recent excellent safety performance, alongside our responsibility to be a great environmental steward - both of which are NRG's core beliefs - all the while managing the assets to deliver on our long term power contracts for our customers.""",696624
16148.0,1,www.businessinsider.sg,2018-07-05 00:00:00,"Throughout the decades, American presidents have used July Fourth as a time to address the nation, reminding us of our responsibilities and of our privileges.",233105
19243.0,1,scroll.in,2018-07-04 22:57:04,"Muller also worked on Jarmusch’s Mystery Train (1989), Dead Man (1996), Ghost Dog: Way of the Samurai (1989) and Coffee and Cigarettes (2003).",309247
17764.0,1,www.dailysabah.com,2018-07-04 23:23:06,"The European Bank for Reconstruction and Development (EBRD) approved an up to 500 million euro loan yesterday for the construction of the Trans Adriatic Pipeline (TAP), the bank said in a statement.",197983
2195.0,1,armenpress.am,2018-07-09 00:00:00,"According to the preliminary investigation, the commander of N military unit, by using his official position, reached a preliminary agreement with a Mayor, ordered the respective employees to use the military equipment less than has been set, as a result of which he sold the diesel fuel saved during February-June 2018.",401564
12765.0,3,www.standardmedia.co.ke,2018-07-05 00:00:00,She then miraculously walked to the front door to wait for the paramedics' arrival.,503049
776.0,1,www.41nbc.com,2018-07-18 00:00:00,The migrants will get 45 days to apply for asylum in Spain or other countries in the European Union.,50551
5674.0,1,www.news-mail.com.au,2018-07-05 05:00:00,"""Court starts at 9am, you need to be here at 9am.""",86736
5182.0,1,www.abc.net.au,2018-07-05 05:03:18,"The Federal Opposition takes a similar approach, saying we need to have these discussions now before fully autonomous cars become available.",569812
5514.0,1,www.sunshinecoastdaily.com.au,2018-07-05 05:00:00,"""She brings a wealth of experience with her, drawing on her training in fine arts and her experience gained as a member of the Australian Society of Marine Artists and Royal Queensland Art Society.”
Originally from Victoria, Ms Connor moved to the Sunshine Coast hinterland in 1996.",427793
8068.0,1,www.channelnewsasia.com,2018-07-05 01:35:43,"By 2024, German military spending would have increased 80 percent, von der Leyen said.",204524
6599.0,3,www.channelnewsasia.com,2018-07-05 03:20:38,"But really I can't make a prediction about how it's going to go.""",206060
9784.0,1,www.freepressjournal.in,2018-07-05 00:17:24,"The captain deliberately ran the boat aground close to shore in an effort to reduce casualties, the transportation ministry said.",365223
17649.0,1,www.dailysabah.com,2018-07-04 23:24:50,"It has seen an on-and-off peace process in recent years, including the latest initiative in Switzerland under the auspices of guarantor countries Turkey, Greece and the U.K. that collapsed in 2017.",198065
505.0,1,www.41nbc.com,2018-07-18 00:00:00,They were found by rescue divers Monday night.,50523
13707.0,3,www.nzherald.co.nz,2018-07-05 00:00:00,"FRANKFURT, Germany (AP) — European businesses are unsettled as they watch the U.S. and China collide over trade.",80911
19829.0,1,www.dailysabah.com,2018-07-04 22:48:07,"""This challenge is not something one or several member states can address alone; rather, this is a task for all of us,"" Merkel stressed during her address at the German Parliament, the Bundestag, and said the leaders reached a common understanding on the need for closer cooperation.",198038
13849.0,0,www.nzherald.co.nz,2018-07-05 00:00:00,"I mean, what little boy doesn't want to be called Robot?""",80633
1341.0,0,time.com,2018-07-18 00:00:00,No problem.,354658
13675.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,"The Trump administration is also studying the option of putting tariffs on cars, which would significantly escalate the confrontation.",81217
9516.0,1,www.financialexpress.com,2018-07-05 00:27:16,He also said that the world will have a better future when India and China work together with trust and confidence while being sensitive to each other’s interests.,245559
12477.0,1,www.standardmedia.co.ke,2018-07-05 00:00:00,"The legislator for Bondo, Gideon Ochanda, said he had filed a petition with the assembly's speaker, Martin Ngoga from Rwanda, so that the motion could be discussed by the MPs for possible ratification.",503062
13809.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,Mire looked set to become the first Zimbabwe batsman to score a century in a Twenty20 before he holed out at deep mid-wicket off seamer Talat in the 18th over — only a ball after Asif Ali missed a sitter at deep square leg.,81026
14213.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,News helicopter video showed the climber sitting by the bottom of the statue's robes Wednesday.,80376
5112.0,1,www.abc.net.au,2018-07-05 05:07:59,"""To look like you're doing something about housing affordability and housing policy, but not actually doing anything that's all that effective.""",570707
14320.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,• A redesigned assessment form to identify potential risks.,79651
5207.0,1,tempo.com.ph,2018-07-05 05:00:47,"“We had a good showing in the pre-season but I don’t think it will be a real gauge on what will transpire in the coming season,” he said in a recent interview with Tempo-Bulletin, playing down their semifinals finish in the recent Filoil Premier Cup.",211429
11268.0,1,www.tvnz.co.nz,2018-07-05 00:00:00,"“Some of the passages are about 8cm in diameter, you can't go through with conventional scuba gear, you have to take off your gear, push through, dig a little bit and zero visibility, feeling your way until you're past the passage.",85482
10283.0,1,bworldonline.com,2018-07-05 00:07:40,"Prior to Indonesia, MPIC already had stakes in Don Muang Tollway Public Company Limited, a major toll road operator in Bangkok, Thailand, and in CII Bridges and Roads, a firm with road and bridges projects in Ho Chi Minh City, Vietnam.",117983
12630.0,1,www.standardmedia.co.ke,2018-07-05 00:00:00,"As the hours passed they knew something was wrong, in a tight-knit community now wracked by anxiety for the boys' return.",503050
15516.0,3,www.businesstimes.com.sg,2018-07-05 00:00:00,"The Bank of England is championing the Sterling Overnight Interbank Average, or Sonia, as an alternative because it tracks the rates of actual overnight funding deals and is therefore considered harder to manipulate.",693987
4664.0,3,www.channelnewsasia.com,2018-07-05 05:45:20,The World Trade Organization said in a report on Wednesday that trade barriers being erected by major economies could jeopardize the global economic recovery and their effects are already starting to show.,203970
18438.0,3,www.news.com.au,2018-07-04 23:08:02,"The Libyan coastguard has rescued 125 people and recovered six bodies after their boat sank east of Tripoli, the latest in a spike of migrant drownings in Libyan waters.",421136
19504.0,1,www.dailymail.co.uk,2018-07-04 22:52:47,"And Michelle Heaton broke down in tears on Wednesday as she admitted her daughter Faith, 6, may need to have her womb and breasts removed should she inherit the faulty BRCA2 gene, which can lead to breast and ovarian cancer.",263508
14378.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,"Washburn says the children were aged 2, 6 and 12.",79653
17821.0,1,www.financialexpress.com,2018-07-04 23:22:14,"The chief minister said, “The decision taken by the Union Cabinet will help boost farmers’ income, mitigate rural distress and administer the farm sector a booster dose.",245241
17608.0,1,www.dailysabah.com,2018-07-04 23:25:24,He noted that they are thinking of a possible investment in Mexico in the glass packaging area.,198106
2905.0,1,signalscv.com,2018-07-07 00:00:00,"“The good thing about this is, it hasn’t changed,” he said.",659778
9474.0,1,www.ndtv.com,2018-07-05 00:28:56,"Dinesh Gundu Rao had been working president of the Congress's state unit, continuing through the May election in the state.",642976
14856.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,"Later on May 4, the defendants took the actress back to her home, where she was able to escape and alert police.",80862
2048.0,1,armenpress.am,2018-07-09 00:00:00,"He said that the statement over Hayastan All Armenian Fund’s director, currently in custody, is unclear.",401579
13639.0,3,www.nzherald.co.nz,2018-07-05 00:00:00,"It's shameful that this happens in the round of 16 of a World Cup.""",81729
1895.0,3,www.freepressjournal.in,2018-07-10 00:00:00,"He made one appearance in Housefull 2, but he is not a fixture in that series.",364563
14733.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,"He criticised Smith's decision to act alone without consulting the other directors of the company, including the couple's daughter, who lived at the site and was responsible for its day-to-day management.",81093
8243.0,1,www.taiwannews.com.tw,2018-07-05 01:27:00,"Patricia Houston, the sister-in-law of Whitney, is responsible for getting the film, out Friday, to screen.",2573
15122.0,1,www.northernstar.com.au,2018-07-05 00:00:00,Cr Mustow said the draft master plan would be used to support an $8 million Regional Sports Infrastructure Fund Grant application for the proposed works.,150773
15373.0,1,www.dailyexaminer.com.au,2018-07-05 00:00:00,"Since moving to Port Macquarie last year Looker has been in the form of his life, regularly racking up winners, including the $400,000 Country Championships final at Randwick on Victorem.",692548
5210.0,3,tempo.com.ph,2018-07-05 05:00:47,"They are just using those tournaments to prepare t their players for any possible in-game situations.”
Still, hopes are high within the Taft Avenue that the Blazers can finally regain the respect after they toiled in the cellar for more than one and a half decade, with their last trip to the Final Four dating back to 2002 when they even made it to the finals.",211429
8089.0,1,indianexpress.com,2018-07-05 01:35:03,I am the CM for two years now.,228758
15064.0,1,www.northernstar.com.au,2018-07-05 00:00:00,"Guy Lanston, Tweed Coast
Played plenty of rugby league before the Raiders came back in 2015 and was selected at centre in the NSW Country team the following season.",150775
4145.0,1,www.dailyexaminer.com.au,2018-07-05 06:02:52,"""I am terribly uncomfortable with violent content on our screens and there is far more evidence that this is predictive of children's violent and aggressive behaviours,"" he said.",692302
13260.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,"At the arrivals hall of Amsterdam's Schiphol airport, drivers bearing placards jostle with relatives to greet the 68 million passengers who pass through every year.",79745
17431.0,3,www.standardmedia.co.ke,2018-07-04 23:27:16,There is nothing like motivation.,502993
9203.0,1,bworldonline.com,2018-07-05 00:34:56,The national government has been moving to decongest Metro Manila by developing Clark and Subic freeport areas and improving links between these sites.,117996
6644.0,0,www.channelnewsasia.com,2018-07-05 03:20:34,Tell me.,204181
17252.0,1,www.pulse.ng,2018-07-04 23:33:00,"According to her, for government to resolve the issue of trucking, we are working to ensure that trucks are put in a particular location called the transit parks.",239742
8398.0,1,indianexpress.com,2018-07-05 01:21:22,"The German goalkeeper was spotted checking the tiny sheet of paper, hidden in his left sock, containing penalty instructions during the European U-21 championship semifinal against England.",228896
15065.0,1,www.northernstar.com.au,2018-07-05 00:00:00,A broken leg slowed him down last year and he has been finding his feet in a Tweed Coast team that looks like a competition favourite.,150775
7193.0,1,www.channelnewsasia.com,2018-07-05 02:45:22,"The European Commission opened a fresh legal case against Poland over the Supreme Court changes on Monday, saying they undermine judicial independence in the largest ex-communist EU member state.",203884
16385.0,1,www.pulse.ng,2018-07-04 23:58:00,"He also urged the government to dismantle the paramilitary groups and called on the opposition to tear down barricades used to seal off parts of cities from the police, ""no matter how righteous your reasons may be.""",240134
4118.0,1,www.dailyexaminer.com.au,2018-07-05 06:02:52,"Mock pirate swords, bows and arrows and even Lego weapons have also been outlawed by childcare operators in a bid to curb ""aggressive"" play.",692302
16452.0,1,www.news.com.au,2018-07-04 23:57:01,The attack prompted the biggest Western expulsion of Russian diplomats since the Cold War as allies in Europe.,421576
6934.0,1,indianexpress.com,2018-07-05 03:00:38,"According to Article 15 (5) of the Constitution of India, minority institutions under Article 30 shall be exempt from constitutional reservations — an amendment inserted by the then Congress government.",228684
8457.0,3,www.channelnewsasia.com,2018-07-05 01:18:00,"""That is a compliment but it doesn't affect our chances against them.",206561
4110.0,1,www.themorningbulletin.com.au,2018-07-05 06:08:00,"""She's fantastic with little kids and she's been a pony club instructor for a long time,” Kaylene said.",464377
1570.0,1,www.automotiveworld.com,2018-07-11 00:00:00,Fleet sales are recorded upon the shipment of the vehicle by FCA US to the customer or end user.,248377
19840.0,1,sputniknews.com,2018-07-04 22:48:00,This statement follows reports from the European Officials who reported that China is allegedly putting pressure on the European Union to issue a strong joint statement against President Donald Trump’s trade policies.,128107
18548.0,1,www.dailymail.co.uk,2018-07-04 23:06:49,"The 21-year-old Venezuelan is batting .294 with a .350 on-base percentage, a .555 slugging percentage, 15 homers and 42 RBIs in 63 games this year, his first major league season.",261173
18306.0,1,www.dailymail.co.uk,2018-07-04 23:12:12,"Nationwide arrest warrants have since been issued for the three men, according to CNN.",249641
8792.0,1,indianexpress.com,2018-07-05 00:59:44,Vishal Srivastav Congress president Rahul Gandhi meets party workers at Amausi airport in Lucknow on Wednesday.,228231
7104.0,3,indianexpress.com,2018-07-05 02:49:38,“We thought she had lost her hand.,228680
6068.0,2,japantoday.com,2018-07-05 04:33:00,"(AP Photo/Sergei Grits)
By GRAHAM DUNBAR
FIFA's patience with Diego Maradona's World Cup antics finally ran out on Wednesday.",501354
1771.0,1,www.automotiveworld.com,2018-07-11 00:00:00,"“That’s for a multitude of reasons following its successful facelift last year that subtly revitalised the formula, tweaking the styling, adding new engines and extra safety tech to the line-up and improving the infotainment on offer in this Mk 7.5 model.”
Emerging from Volkswagen factories around the globe at an average pace of one every 40 seconds for the last 44 years, the brand’s updated family favourite continues to feature high in the UK best-sellers list as buyers opt for its uniquely appealing mix of reliability, safety and driving pleasure.",248487
12814.0,1,www.standardmedia.co.ke,2018-07-05 00:00:00,She also has a full-time job working as a legal assistant in a law firm.,503049
545.0,1,www.41nbc.com,2018-07-18 00:00:00,Prosecutors have demanded $1 million bail.,50579
12283.0,0,www.standardmedia.co.ke,2018-07-05 00:00:00,"Text the word 'NEWS' to 22840
Abubakar told the court that the trial judge did not consider the evidence of missing forms showing results from each polling station during the scrutiny.",502970
5929.0,1,www.abc.net.au,2018-07-05 04:50:26,The team plan to implant embryos into southern white rhino females to see if the surrogate mothers can carry a pregnancy to term.,570481
13508.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,One such non-financially motivated portfolio I noticed recently is named the Point Bridge GOP Stock Tracker ETF.,79908
11473.0,1,www.tvnz.co.nz,2018-07-05 00:00:00,NIWA marine ecologist Dr Kim Goetz collected sound recordings near the curious mammal in the hopes it made vocalising calls that can be linked to unique calls recorded in the Cook Strait from around a year ago.,85353
2916.0,1,signalscv.com,2018-07-07 00:00:00,"In the community, she has been an active supporter of the SCV Boys & Girls Club auction and science hours, AT&T Golf Tournament, host family for international students, SCV Senior Center’s Celebrity Waiter dinner, Wine Auction and Home Delivered Meals kitchen volunteer, American Red Cross, American Heart Association, and Downtown Newhall’s Western Walk of Fame.",659819
16105.0,3,www.businessinsider.sg,2018-07-05 00:00:00,We’re here to help.,233017
14143.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,"Two dozen tribes, from the Apache in the Southwest to the Sioux in the Dakotas, have written letters in support of legislation in Congress proposed by Massachusetts lawmakers to enshrine the Mashpee Wampanoag tribe's land status.",80012
19866.0,1,www.dailysabah.com,2018-07-04 22:47:53,Dozens of African countries have handed over FETÖ schools to Maarif or closed them down at Ankara's request.,197966
3850.0,1,www.news-mail.com.au,2018-07-05 06:39:16,"Latest WorkCover data, obtained by The Courier-Mail, show public school staff submitted 359 claims between July 1, 2017, and June 15 this year over assault or exposure to violence.",86550
3470.0,1,www.sunshinecoastdaily.com.au,2018-07-05 07:06:00,He said his colleague Minns only managed to get out on the Beerwah course on a monthly basis as well.,428007
15486.0,3,www.businesstimes.com.sg,2018-07-05 00:00:00,"The PBOC is, as a result, busy.",693993
18203.0,3,www.dailymail.co.uk,2018-07-04 23:12:18,They also bought food and a blanket from a charity shop so they could relax in the sun in Queen Elizabeth Gardens in the city.,249724
12298.0,1,www.standardmedia.co.ke,2018-07-05 00:00:00,"John Oketch, who said he suspected that his five-year-old son was suffering from malaria, said he had visited three sub-county hospitals and had been advised to buy antibiotics.",503186
4486.0,3,www.taiwannews.com.tw,2018-07-05 05:56:00,"""Hopefully it won't be something that it's too long.",713
17858.0,3,www.channelnewsasia.com,2018-07-04 23:20:44,"The match, however, may be won at the other end of the field.",204010
5026.0,1,japantoday.com,2018-07-05 05:10:00,"The Tribune newspaper said five of the deaths occurred in the past 48 hours in the Eastern Townships, a rural area just east of the city.",501368
19327.0,1,www.dailymail.co.uk,2018-07-04 22:55:36,They include manufacturing a commercial quantity of drugs and directing a criminal group.,250674
5371.0,3,www.thechronicle.com.au,2018-07-05 05:00:00,This followed on from a vastly successful AccessChina trip in 2016.,384855
5365.0,0,www.thechronicle.com.au,2018-07-05 05:00:00,Think Will Power.,384855
4480.0,1,www.taiwannews.com.tw,2018-07-05 05:56:00,NEW YORK (AP) — Yankees second baseman Gleyber Torres was placed on the 10-day disabled list on Wednesday because of a strained right hip.,713
12095.0,0,www.standardmedia.co.ke,2018-07-05 00:00:00,"How can we pay Sh1.5 million to put gravel one kilometre, yet the murram is being sourced from our county?” asked Wahinya.",503038
12968.0,1,www.nzherald.co.nz,2018-07-05 00:00:00,"Another British expert, Gary Mitchell, described the challenging conditions.",80546
